video_name,original_frames,fake_frames_added,start_frame,end_frame,total_frames_after_merge,fps_original,fps_fake
Ornek_1,414,160,100,260,574,29.9700299700299,24.0
Ornek_2,225,125,100,225,350,24.0,24.0
Ornek_3,635,262,100,362,897,50.0,24.0
Ornek_4,619,160,100,260,779,30.0,24.0
Ornek_5,1080,262,100,362,1342,50.0,24.0
Ornek_6,900,160,100,260,1060,30.0,24.0
Ornek_7,208,131,100,231,339,25.0,24.0
Ornek_8,693,315,100,415,1008,59.9400599400599,24.0
Ornek_9,987,160,100,260,1147,30.0,24.0
Ornek_10,108,131,100,231,239,25.0,24.0
Ornek_11,168,160,100,260,328,30.0,24.0
Ornek_12,360,131,100,231,491,25.0,24.0
Ornek_13,266,62,100,162,328,23.9760239760239,24.0
Ornek_14,529,160,100,260,689,30.0,24.0
Ornek_15,325,131,100,231,456,25.0,24.0
Ornek_16,298,160,100,260,458,29.9700299700299,24.0
Ornek_17,374,160,100,260,534,29.9700299700299,24.0
Ornek_18,464,131,100,231,595,25.0,24.0
Ornek_19,546,160,100,260,706,29.9700299700299,24.0
Ornek_20,599,160,100,260,759,29.9700299700299,24.0
Ornek_21,621,160,100,260,781,29.9700299700299,24.0
Ornek_22,453,160,100,260,613,30.0,24.0
Ornek_23,864,315,100,415,1179,59.9400599400599,24.0
Ornek_24,311,62,100,162,373,23.9760239760239,24.0
Ornek_25,704,315,100,415,1019,60.0,24.0
Ornek_26,459,160,100,260,619,29.9700299700299,24.0
Ornek_27,308,160,100,260,468,29.9700299700299,24.0
Ornek_28,231,160,100,260,391,30.0,24.0
Ornek_29,634,160,100,260,794,29.9700299700299,24.0
Ornek_30,801,262,100,362,1063,50.0,24.0
Ornek_31,690,315,100,415,1005,60.0,24.0
Ornek_32,262,262,100,362,524,50.0,24.0
Ornek_33,699,315,100,415,1014,60.0,24.0
Ornek_34,448,160,100,260,608,29.9700299700299,24.0
Ornek_35,180,160,100,260,340,29.9700299700299,24.0
Ornek_36,615,62,100,162,677,23.9760239760239,24.0
Ornek_37,360,160,100,260,520,29.9700299700299,24.0
Ornek_38,150,125,100,225,275,24.0,24.0
Ornek_39,390,160,100,260,550,29.9700299700299,24.0
Ornek_40,304,160,100,260,464,30.0,24.0
Ornek_41,182,131,100,231,313,25.0,24.0
Ornek_42,575,131,100,231,706,25.0,24.0
Ornek_43,238,160,100,260,398,30.0,24.0
Ornek_44,937,160,100,260,1097,29.9700299700299,24.0
Ornek_45,489,315,100,415,804,60.0,24.0
Ornek_46,305,160,100,260,465,30.0,24.0
Ornek_47,276,125,100,225,401,24.0,24.0
Ornek_48,147,131,100,231,278,25.0,24.0
Ornek_49,321,160,100,260,481,29.9700299700299,24.0
Ornek_50,259,160,100,260,419,30.0,24.0
Ornek_51,300,131,100,231,431,25.0,24.0
Ornek_52,300,131,100,231,431,25.0,24.0
Ornek_53,288,62,100,162,350,23.9760239760239,24.0
Ornek_54,464,160,100,260,624,30.0,24.0
Ornek_55,465,160,100,260,625,30.0,24.0
Ornek_56,470,160,100,260,630,30.0,24.0
Ornek_57,467,160,100,260,627,30.0,24.0
Ornek_58,465,160,100,260,625,30.0,24.0
Ornek_59,467,160,100,260,627,30.0,24.0
Ornek_60,470,160,100,260,630,30.0,24.0
Ornek_61,469,160,100,260,629,30.0,24.0
Ornek_62,466,160,100,260,626,30.0,24.0
Ornek_63,468,160,100,260,628,30.0,24.0
Ornek_64,466,160,100,260,626,30.0,24.0
Ornek_65,473,160,100,260,633,30.0,24.0
Ornek_66,472,160,100,260,632,30.0,24.0
Ornek_67,461,160,100,260,621,30.0,24.0
Ornek_68,383,160,100,260,543,30.0,24.0
Ornek_69,252,160,100,260,412,30.0,24.0
Ornek_70,235,125,100,225,360,24.0,24.0
Ornek_71,229,125,100,225,354,24.0,24.0
Ornek_72,203,125,100,225,328,24.0,24.0
Ornek_73,204,125,100,225,329,24.0,24.0
Ornek_74,210,125,100,225,335,24.0,24.0
Ornek_75,207,125,100,225,332,24.0,24.0
Ornek_76,207,125,100,225,332,24.0,24.0
Ornek_77,206,125,100,225,331,24.0,24.0
Ornek_78,201,125,100,225,326,24.0,24.0
Ornek_79,211,125,100,225,336,24.0,24.0
Ornek_80,211,125,100,225,336,24.0,24.0
Ornek_81,188,125,100,225,313,24.0,24.0
Ornek_82,203,125,100,225,328,24.0,24.0
Ornek_83,208,125,100,225,333,24.0,24.0
Ornek_84,209,125,100,225,334,24.0,24.0
Ornek_85,202,125,100,225,327,24.0,24.0
Ornek_86,184,125,100,225,309,24.0,24.0
Ornek_87,205,125,100,225,330,24.0,24.0
Ornek_88,198,125,100,225,323,24.0,24.0
Ornek_89,206,125,100,225,331,24.0,24.0
Ornek_90,208,125,100,225,333,24.0,24.0
Ornek_91,203,125,100,225,328,24.0,24.0
Ornek_92,200,125,100,225,325,24.0,24.0
Ornek_93,202,125,100,225,327,24.0,24.0
Ornek_94,209,125,100,225,334,24.0,24.0
Ornek_95,191,125,100,225,316,24.0,24.0
Ornek_96,203,125,100,225,328,24.0,24.0
Ornek_97,200,125,100,225,325,24.0,24.0
Ornek_98,207,125,100,225,332,24.0,24.0
Ornek_99,208,125,100,225,333,24.0,24.0
Ornek_100,188,125,100,225,313,24.0,24.0
